id;the_geom;IdINSPIRE;Id_carr1km;I_est_cr;Id_carr_n;Groupe;Depcom;I_pauv;Id_car2010;Ind;Men;Men_pauv;Men_1ind;Men_5ind;Men_prop;Men_fmp;Ind_snv;Men_surf;Men_coll;Men_mais;Log_av45;Log_45_70;Log_70_90;Log_ap90;Log_inc;Log_soc;Ind_0_3;Ind_4_5;Ind_6_10;Ind_11_17;Ind_18_24;Ind_25_39;Ind_40_54;Ind_55_64;Ind_65_79;Ind_80p;Ind_inc;I_est_1km
carreau_pop_v2.1;MULTIPOLYGON (((1023410.768398186 6282634.07959175, 1023393.1202044608 6282833.840383766, 1023591.9000165052 6282851.943011435, 1023609.5483049483 6282652.18218124, 1023410.768398186 6282634.07959175)));CRS3035RES200mN2278200E4078400;CRS3035RES1000mN2278000E4078000;0;CRS3035RES200mN2278200E4078400;441429;06030;0;CRS3035RES200mN2278200E4078400;123.5;48.0;12.0;14.0;5.0;23.0;6.0;2512083.8;3427.0;33.0;15.0;33.0;11.0;0.0;3.0;1.0;0.0;4.5;6.5;6.0;13.5;8.0;26.0;18.0;10.0;13.0;16.0;2.0;0
carreau_pop_v2.2;MULTIPOLYGON (((1026294.9263511652 6279473.358601552, 1026277.2789194507 6279673.129318349, 1026476.0598426682 6279691.226637876, 1026493.7073712866 6279491.455883711, 1026294.9263511652 6279473.358601552)));CRS3035RES200mN2274800E4081000;CRS3035RES1000mN2274000E4081000;0;CRS3035RES4000mN2272000E4080000;438515;06029;0;CRS3035RES200mN2274800E4081000;218.0;133.0;24.0;69.0;1.0;70.0;12.0;5766491.5;9526.0;125.0;8.0;9.0;9.0;22.0;92.0;1.0;0.0;7.5;2.0;6.0;9.5;5.0;17.0;26.0;35.0;69.0;39.0;2.0;0
carreau_pop_v2.3;MULTIPOLYGON (((1023048.5041145317 6282198.350244428, 1023030.8563491919 6282398.112066531, 1023229.6364310202 6282416.215336147, 1023247.284291374 6282216.453475824, 1023048.5041145317 6282198.350244428)));CRS3035RES200mN2277800E4078000;CRS3035RES1000mN2277000E4078000;0;CRS3035RES1000mN2277000E4078000;440030;06030;0;CRS3035RES200mN2277800E4078000;117.5;48.0;3.0;9.0;2.0;25.0;7.0;2484084.0;3769.0;20.0;28.0;8.0;3.0;21.0;16.0;0.0;0.0;5.0;0.0;2.5;17.0;7.0;10.0;28.0;15.0;24.0;8.0;1.0;0
carreau_pop_v2.4;MULTIPOLYGON (((1022650.943640168 6282162.142704332, 1022633.2960648878 6282361.904449897, 1022832.0762271674 6282380.0084377825, 1022849.723897483 6282180.246653928, 1022650.943640168 6282162.142704332)));CRS3035RES200mN2277800E4077600;CRS3035RES1000mN2277000E4077000;1;CRS3035RES1000mN2277000E4077000;439974;06029;0;CRS3035RES200mN2277800E4077600;23.0;9.0;0.9;1.4;0.0;7.7;1.4;768205.5;1144.1;0.4;8.6;2.3;0.9;1.3;4.5;0.0;0.0;0.0;0.0;0.9;3.6;0.4;1.4;3.6;4.5;5.9;1.8;0.9;0
carreau_pop_v2.5;MULTIPOLYGON (((1022452.1633425269 6282144.0383956395, 1022434.5158622931 6282343.800102878, 1022633.2960648878 6282361.904449897, 1022650.943640168 6282162.142704332, 1022452.1633425269 6282144.0383956395)));CRS3035RES200mN2277800E4077400;CRS3035RES1000mN2277000E4077000;0;CRS3035RES1000mN2277000E4077000;439985;06029;0;CRS3035RES200mN2277800E4077400;344.0;142.0;17.0;44.0;9.0;18.0;24.0;7312783.3;8963.0;142.0;0.0;0.0;0.0;0.0;142.0;0.0;54.0;22.0;13.0;29.5;40.5;14.0;112.0;74.0;19.0;10.0;2.0;8.0;0
carreau_pop_v2.6;MULTIPOLYGON (((1021657.0417475055 6282071.617569902, 1021639.3946475657 6282271.379123462, 1021838.1750120195 6282289.484907012, 1021855.8222070494 6282089.723314976, 1021657.0417475055 6282071.617569902)));CRS3035RES200mN2277800E4076600;CRS3035RES1000mN2277000E4076000;0;CRS3035RES1000mN2277000E4076000;439973;06029;0;CRS3035RES200mN2277800E4076600;543.0;223.0;21.0;59.0;13.0;15.0;60.0;1.03942291E7;14175.0;211.0;12.0;0.0;6.0;1.0;215.0;1.0;207.0;37.5;23.5;55.0;48.0;24.0;140.0;124.0;47.0;32.0;2.0;10.0;0
carreau_pop_v2.7;MULTIPOLYGON (((1022054.6026260275 6282107.828700961, 1022036.9553359188 6282307.5903314315, 1022235.7356193234 6282325.695396718, 1022253.3830045003 6282125.933727845, 1022054.6026260275 6282107.828700961)));CRS3035RES200mN2277800E4077000;CRS3035RES1000mN2277000E4077000;0;CRS3035RES1000mN2277000E4077000;439976;06029;0;CRS3035RES200mN2277800E4077000;95.5;35.0;2.0;3.0;1.0;31.0;3.0;3041909.1;2903.0;13.0;22.0;0.0;0.0;0.0;35.0;0.0;0.0;6.0;3.0;5.5;9.0;3.0;17.0;31.0;5.0;12.0;0.0;4.0;0
carreau_pop_v2.8;MULTIPOLYGON (((1022849.723897483 6282180.246653928, 1022832.0762271674 6282380.0084377825, 1023030.8563491919 6282398.112066531, 1023048.5041145317 6282198.350244428, 1022849.723897483 6282180.246653928)));CRS3035RES200mN2277800E4077800;CRS3035RES1000mN2277000E4077000;0;CRS3035RES1000mN2277000E4077000;439983;06029;0;CRS3035RES200mN2277800E4077800;232.5;127.0;15.0;59.0;2.0;89.0;12.0;5201413.8;7939.0;123.0;4.0;3.0;1.0;72.0;51.0;0.0;0.0;7.0;10.0;5.5;15.5;5.5;48.0;46.0;26.0;49.0;20.0;0.0;0
carreau_pop_v2.9;MULTIPOLYGON (((1025994.904082815 6282869.385238681, 1025977.2546585961 6283069.14652412, 1026176.0339553822 6283087.244481857, 1026193.6834741788 6282887.483158724, 1025994.904082815 6282869.385238681)));CRS3035RES200mN2278200E4081000;CRS3035RES1000mN2278000E4081000;1;CRS3035RES1000mN2278000E4081000;441489;06155;0;CRS3035RES200mN2278200E4081000;14.0;5.4;0.5;1.6;0.6;4.5;0.5;417956.7;773.8;0.2;5.2;0.3;0.8;1.9;2.4;0.0;0.0;0.0;0.0;0.7;0.9;0.7;1.3;2.9;2.6;2.7;1.7;0.5;0
carreau_pop_v2.10;MULTIPOLYGON (((1023013.208464407 6282597.873335237, 1022995.5604601507 6282797.634050785, 1023194.3403523632 6282815.737396881, 1023211.9884513589 6282615.976643083, 1023013.208464407 6282597.873335237)));CRS3035RES200mN2278200E4078000;CRS3035RES1000mN2278000E4078000;0;CRS3035RES200mN2278200E4078000;441432;06030;0;CRS3035RES200mN2278200E4078000;194.5;77.0;9.0;22.0;7.0;60.0;4.0;4711494.9;5988.0;53.0;24.0;5.0;20.0;10.0;42.0;0.0;0.0;4.0;3.0;15.0;16.5;10.0;27.0;48.0;22.0;28.0;15.0;6.0;0
carreau_pop_v2.11;MULTIPOLYGON (((1025398.565672762 6282815.089323383, 1025380.9165323412 6283014.850495514, 1025579.6959471356 6283032.949530948, 1025597.3451821666 6282833.18832101, 1025398.565672762 6282815.089323383)));CRS3035RES200mN2278200E4080400;CRS3035RES1000mN2278000E4080000;1;CRS3035RES1000mN2278000E4080000;441517;06030;0;CRS3035RES200mN2278200E4080400;9.0;3.4;0.5;0.9;0.5;2.3;0.2;260330.7;681.2;0.0;3.4;0.2;0.7;1.4;1.1;0.0;0.0;0.1;0.1;0.1;0.9;0.9;0.4;2.0;1.7;1.3;1.0;0.5;0
carreau_pop_v2.12;MULTIPOLYGON (((1026591.2421392847 6282923.677921212, 1026573.5924313646 6283123.439319624, 1026772.3716106808 6283141.53619965, 1026790.0214131465 6282941.774763653, 1026591.2421392847 6282923.677921212)));CRS3035RES200mN2278200E4081600;CRS3035RES1000mN2278000E4081000;0;CRS3035RES1000mN2278000E4081000;441499;06155;0;CRS3035RES200mN2278200E4081600;76.5;28.0;2.0;3.0;3.0;24.0;2.0;2202177.6;2862.0;1.0;27.0;1.0;0.0;3.0;23.0;1.0;0.0;0.0;1.0;1.0;3.5;6.0;9.0;11.0;20.0;22.0;2.0;1.0;0
carreau_pop_v2.13;MULTIPOLYGON (((1022253.3830045003 6282125.933727845, 1022235.7356193234 6282325.695396718, 1022434.5158622931 6282343.800102878, 1022452.1633425269 6282144.0383956395, 1022253.3830045003 6282125.933727845)));CRS3035RES200mN2277800E4077200;CRS3035RES1000mN2277000E4077000;0;CRS3035RES1000mN2277000E4077000;439982;06029;0;CRS3035RES200mN2277800E4077200;217.5;105.0;14.0;34.0;2.0;75.0;11.0;5829150.8;7802.0;80.0;25.0;1.0;0.0;53.0;51.0;0.0;0.0;11.0;5.0;11.5;7.0;6.0;40.0;35.0;49.0;41.0;9.0;3.0;0
carreau_pop_v2.14;MULTIPOLYGON (((1021855.8222070494 6282089.723314976, 1021838.1750120195 6282289.484907012, 1022036.9553359188 6282307.5903314315, 1022054.6026260275 6282107.828700961, 1021855.8222070494 6282089.723314976)));CRS3035RES200mN2277800E4076800;CRS3035RES1000mN2277000E4076000;0;CRS3035RES1000mN2277000E4076000;439968;06029;0;CRS3035RES200mN2277800E4076800;147.0;63.0;5.0;17.0;3.0;42.0;3.0;4298169.7;4993.0;41.0;22.0;0.0;0.0;1.0;62.0;0.0;0.0;4.0;1.0;13.0;7.0;5.0;30.0;39.0;25.0;17.0;2.0;4.0;0
carreau_pop_v2.15;MULTIPOLYGON (((1023211.9884513589 6282615.976643083, 1023194.3403523632 6282815.737396881, 1023393.1202044608 6282833.840383766, 1023410.768398186 6282634.07959175, 1023211.9884513589 6282615.976643083)));CRS3035RES200mN2278200E4078200;CRS3035RES1000mN2278000E4078000;0;CRS3035RES200mN2278200E4078200;441428;06030;0;CRS3035RES200mN2278200E4078200;101.0;45.0;6.0;14.0;1.0;25.0;4.0;1880714.0;2769.0;31.0;14.0;12.0;11.0;16.0;4.0;2.0;0.0;3.0;1.0;3.0;16.0;2.0;13.0;27.0;7.0;13.0;13.0;3.0;0
carreau_pop_v2.16;MULTIPOLYGON (((1021458.2612473366 6282053.511465739, 1021440.6142424971 6282253.272980785, 1021639.3946475657 6282271.379123462, 1021657.0417475055 6282071.617569902, 1021458.2612473366 6282053.511465739)));CRS3035RES200mN2277800E4076400;CRS3035RES1000mN2277000E4076000;0;CRS3035RES1000mN2277000E4076000;439964;06030;0;CRS3035RES200mN2277800E4076400;30.0;19.0;1.0;9.0;0.0;13.0;1.0;655994.5;1285.0;17.0;2.0;1.0;1.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;3.0;8.0;7.0;6.0;0.0;0
carreau_pop_v2.17;MULTIPOLYGON (((1023609.5483049483 6282652.18218124, 1023591.9000165052 6282851.943011435, 1023790.679788555 6282870.045279882, 1023808.3281717056 6282670.284411549, 1023609.5483049483 6282652.18218124)));CRS3035RES200mN2278200E4078600;CRS3035RES1000mN2278000E4078000;0;CRS3035RES200mN2278200E4078600;441448;06030;0;CRS3035RES200mN2278200E4078600;667.5;328.0;75.0;151.0;15.0;178.0;38.0;1.19750972E7;18051.0;306.0;22.0;31.0;131.0;51.0;113.0;2.0;0.0;39.5;21.5;35.0;48.5;40.0;131.0;138.0;65.0;92.0;55.0;2.0;0
carreau_pop_v2.18;MULTIPOLYGON (((1024258.832791249 6282107.201641874, 1024241.1845745866 6282306.964246236, 1024439.9645114483 6282325.065322992, 1024457.6128231962 6282125.302680658, 1024258.832791249 6282107.201641874)));CRS3035RES200mN2277600E4079200;CRS3035RES1000mN2277000E4079000;0;CRS3035RES200mN2277600E4079200;440118;06030;0;CRS3035RES200mN2277600E4079200;627.5;345.0;65.0;178.0;10.0;170.0;35.0;1.41251937E7;22690.0;317.0;28.0;39.0;117.0;61.0;126.0;2.0;25.0;24.0;6.5;15.0;40.0;37.0;78.0;115.0;86.0;139.0;82.0;5.0;0
carreau_pop_v2.19;MULTIPOLYGON (((1020627.8454694676 6282380.60562582, 1020610.1986029404 6282580.365879423, 1020808.9789811871 6282598.473535978, 1020826.6259425848 6282398.713243675, 1020627.8454694676 6282380.60562582)));CRS3035RES200mN2278200E4075600;CRS3035RES1000mN2278000E4075000;1;CRS3035RES1000mN2278000E4075000;441287;06085;0;CRS3035RES200mN2278200E4075600;1.0;0.5;0.1;0.2;0.0;0.4;0.1;23768.1;55.6;0.2;0.3;0.1;0.0;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.0;0.3;0.1;0.2;0.1;0.1;0
carreau_pop_v2.20;MULTIPOLYGON (((1019850.3695326454 6282108.410910938, 1019832.723167371 6282308.171562837, 1020031.5038044588 6282326.280617315, 1020049.1502647847 6282126.519926585, 1019850.3695326454 6282108.410910938)));CRS3035RES200mN2278000E4074800;CRS3035RES1000mN2278000E4074000;0;CRS3035RES1000mN2278000E4074000;441279;06029;0;CRS3035RES200mN2278000E4074800;155.0;57.0;10.0;14.0;7.0;1.0;15.0;2859578.6;4421.0;47.0;10.0;0.0;0.0;47.0;10.0;0.0;56.0;4.0;6.0;8.0;13.0;18.0;28.0;27.0;25.0;13.0;10.0;3.0;0
carreau_pop_v2.21;MULTIPOLYGON (((1019832.723167371 6282308.171562837, 1019815.0766804363 6282507.931661265, 1020013.8572226095 6282526.040754594, 1020031.5038044588 6282326.280617315, 1019832.723167371 6282308.171562837)));CRS3035RES200mN2278200E4074800;CRS3035RES1000mN2278000E4074000;0;CRS3035RES1000mN2278000E4074000;441276;06029;0;CRS3035RES200mN2278200E4074800;51.0;12.0;2.0;1.0;5.0;7.0;1.0;1002446.8;1036.0;4.0;8.0;3.0;0.0;0.0;9.0;0.0;0.0;5.0;7.0;3.0;8.0;5.0;9.0;12.0;1.0;0.0;0.0;1.0;0
carreau_pop_v2.22;MULTIPOLYGON (((1020429.0649554476 6282362.497648808, 1020411.4181838022 6282562.2578636715, 1020610.1986029404 6282580.365879423, 1020627.8454694676 6282380.60562582, 1020429.0649554476 6282362.497648808)));CRS3035RES200mN2278200E4075400;CRS3035RES1000mN2278000E4075000;0;CRS3035RES1000mN2278000E4075000;441295;06029;0;CRS3035RES200mN2278200E4075400;286.5;118.0;9.0;22.0;7.0;102.0;11.0;6219831.1;8653.0;118.0;0.0;0.0;0.0;33.0;84.0;1.0;0.0;11.0;4.0;11.5;21.0;24.0;39.0;58.0;48.0;52.0;15.0;3.0;0
carreau_pop_v2.23;MULTIPOLYGON (((1020031.5038044588 6282326.280617315, 1020013.8572226095 6282526.040754594, 1020212.6377237116 6282544.1494887285, 1020230.2844004643 6282344.389312639, 1020031.5038044588 6282326.280617315)));CRS3035RES200mN2278200E4075000;CRS3035RES1000mN2278000E4075000;0;CRS3035RES1000mN2278000E4075000;441293;06029;0;CRS3035RES200mN2278200E4075000;252.5;85.0;15.0;17.0;16.0;26.0;17.0;4774496.0;6759.0;58.0;27.0;3.0;1.0;1.0;80.0;0.0;55.0;16.0;8.0;27.5;30.0;18.0;48.0;55.0;28.0;17.0;1.0;4.0;0
carreau_pop_v2.24;MULTIPOLYGON (((1020230.2844004643 6282344.389312639, 1020212.6377237116 6282544.1494887285, 1020411.4181838022 6282562.2578636715, 1020429.0649554476 6282362.497648808, 1020230.2844004643 6282344.389312639)));CRS3035RES200mN2278200E4075200;CRS3035RES1000mN2278000E4075000;0;CRS3035RES1000mN2278000E4075000;441291;06029;0;CRS3035RES200mN2278200E4075200;130.5;53.0;5.0;15.0;2.0;1.0;9.0;2430114.2;2702.0;53.0;0.0;0.0;0.0;0.0;44.0;9.0;44.0;9.0;8.0;16.0;9.0;3.5;43.0;29.0;6.0;6.0;1.0;0.0;0
carreau_pop_v2.25;MULTIPOLYGON (((1019633.9424891407 6282290.062149206, 1019616.2960971312 6282489.822208753, 1019815.0766804363 6282507.931661265, 1019832.723167371 6282308.171562837, 1019633.9424891407 6282290.062149206)));CRS3035RES200mN2278200E4074600;CRS3035RES1000mN2278000E4074000;0;CRS3035RES1000mN2278000E4074000;441281;06029;0;CRS3035RES200mN2278200E4074600;174.5;72.0;17.0;31.0;9.0;2.0;17.0;2752432.2;4141.0;68.0;4.0;14.0;0.0;0.0;58.0;0.0;55.0;12.0;7.5;17.0;22.0;10.0;42.0;44.0;12.0;6.0;1.0;1.0;0
carreau_pop_v2.26;MULTIPOLYGON (((1026193.6834741788 6282887.483158724, 1026176.0339553822 6283087.244481857, 1026374.8132129516 6283105.3420803575, 1026392.4628263155 6282905.580719566, 1026193.6834741788 6282887.483158724)));CRS3035RES200mN2278200E4081200;CRS3035RES1000mN2278000E4081000;1;CRS3035RES1000mN2278000E4081000;441489;06155;0;CRS3035RES200mN2278200E4081200;4.0;1.5;0.1;0.5;0.2;1.3;0.1;119416.2;221.1;0.0;1.5;0.1;0.2;0.5;0.7;0.0;0.0;0.0;0.0;0.2;0.3;0.2;0.4;0.8;0.7;0.8;0.5;0.1;0
carreau_pop_v2.27;MULTIPOLYGON (((1026621.8971495253 6280308.632634287, 1026604.2490569742 6280508.401200577, 1026803.0295152924 6280526.497952266, 1026820.6777041786 6280326.729348603, 1026621.8971495253 6280308.632634287)));CRS3035RES200mN2275600E4081400;CRS3035RES1000mN2275000E4081000;0;CRS3035RES4000mN2272000E4080000;438538;06029;0;CRS3035RES200mN2275600E4081400;167.0;114.0;14.0;70.0;0.0;70.0;4.0;4286395.3;6602.0;112.0;2.0;21.0;0.0;1.0;92.0;0.0;0.0;3.0;0.0;1.0;3.0;1.0;23.0;25.0;30.0;58.0;23.0;0.0;0
carreau_pop_v2.28;MULTIPOLYGON (((1026820.6777041786 6280326.729348603, 1026803.0295152924 6280526.497952266, 1027001.8099343737 6280544.594345204, 1027019.4582195843 6280344.825704203, 1026820.6777041786 6280326.729348603)));CRS3035RES200mN2275600E4081600;CRS3035RES1000mN2275000E4081000;0;CRS3035RES4000mN2272000E4080000;438534;06029;0;CRS3035RES200mN2275600E4081600;116.5;78.0;4.0;48.0;1.0;52.0;3.0;3281972.8;4754.0;77.0;1.0;5.0;0.0;0.0;73.0;0.0;0.0;0.0;0.0;1.5;2.0;4.0;6.0;15.0;19.0;33.0;36.0;0.0;0
carreau_pop_v2.29;MULTIPOLYGON (((1019435.1617697082 6282271.952376427, 1019417.5154726353 6282471.712397046, 1019616.2960971312 6282489.822208753, 1019633.9424891407 6282290.062149206, 1019435.1617697082 6282271.952376427)));CRS3035RES200mN2278200E4074400;CRS3035RES1000mN2278000E4074000;1;CRS3035RES1000mN2278000E4074000;441274;06029;0;CRS3035RES200mN2278200E4074400;19.0;6.8;1.1;1.5;0.6;4.1;0.6;435789.7;539.9;4.5;2.3;1.3;1.5;1.3;2.7;0.0;0.0;1.9;0.9;0.6;1.1;0.9;3.8;3.2;1.9;3.0;1.1;0.6;0
carreau_pop_v2.30;MULTIPOLYGON (((1026096.1452915741 6279455.260960834, 1026078.497956774 6279655.031640221, 1026277.2789194507 6279673.129318349, 1026294.9263511652 6279473.358601552, 1026096.1452915741 6279455.260960834)));CRS3035RES200mN2274800E4080800;CRS3035RES1000mN2274000E4080000;0;CRS3035RES4000mN2272000E4080000;438513;06029;0;CRS3035RES200mN2274800E4080800;199.0;111.0;15.0;50.0;3.0;72.0;7.0;5715350.7;8502.0;110.0;1.0;5.0;9.0;13.0;84.0;0.0;0.0;3.0;0.0;4.0;10.0;7.0;21.0;20.0;17.0;70.0;45.0;2.0;0
carreau_pop_v2.31;MULTIPOLYGON (((1027094.6975794708 6281761.290788951, 1027077.0483824781 6281961.055582745, 1027275.8280529771 6281979.151519523, 1027293.4773453149 6281779.386688337, 1027094.6975794708 6281761.290788951)));CRS3035RES200mN2277000E4082000;CRS3035RES1000mN2277000E4082000;1;CRS3035RES1000mN2277000E4082000;440189;06155;0;CRS3035RES200mN2277000E4082000;1.0;0.4;0.0;0.1;0.0;0.3;0.0;32818.1;80.3;0.0;0.4;0.0;0.1;0.2;0.1;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.1;0.2;0.2;0.3;0.1;0.0;0
carreau_pop_v2.32;MULTIPOLYGON (((1019254.0270890684 6282054.081709311, 1019236.3810090139 6282253.842244498, 1019435.1617697082 6282271.952376427, 1019452.807944847 6282072.1918023, 1019254.0270890684 6282054.081709311)));CRS3035RES200mN2278000E4074200;CRS3035RES1000mN2278000E4074000;1;CRS3035RES1000mN2278000E4074000;441274;06029;0;CRS3035RES200mN2278000E4074200;5.0;1.8;0.3;0.4;0.2;1.1;0.2;114681.5;142.1;1.2;0.6;0.3;0.4;0.4;0.7;0.0;0.0;0.5;0.2;0.2;0.3;0.2;1.0;0.8;0.5;0.8;0.3;0.2;0
carreau_pop_v2.33;MULTIPOLYGON (((1019337.5653528676 6278839.727840294, 1019319.9213195983 6279039.497225774, 1019518.7036595517 6279057.607095529, 1019536.3477901048 6278857.837671379, 1019337.5653528676 6278839.727840294)));CRS3035RES200mN2274800E4074000;CRS3035RES1000mN2274000E4074000;1;CRS3035RES1000mN2274000E4074000;438498;06029;0;CRS3035RES200mN2274800E4074000;8.0;5.2;1.0;3.8;0.3;2.8;0.3;162028.0;260.5;4.9;0.3;0.0;3.1;0.0;2.1;0.0;0.0;1.4;0.0;0.4;0.0;0.4;1.7;0.7;1.7;1.0;0.7;0.0;0
carreau_pop_v2.34;MULTIPOLYGON (((1019898.6237685692 6279293.594703431, 1019880.9792007147 6279493.363090419, 1020079.761222265 6279511.471961679, 1020097.4058870964 6279311.703536097, 1019898.6237685692 6279293.594703431)));CRS3035RES200mN2275200E4074600;CRS3035RES1000mN2275000E4074000;1;CRS3035RES1000mN2275000E4074000;438499;06029;0;CRS3035RES200mN2275200E4074600;85.5;54.9;8.9;30.1;0.0;23.0;6.2;2037618.0;2337.3;54.0;0.9;16.8;1.8;0.9;34.5;0.9;0.0;2.7;0.0;2.7;0.0;2.2;17.7;19.5;17.7;16.8;6.2;0.0;0
carreau_pop_v2.35;MULTIPOLYGON (((1026060.8505048433 6279854.801762894, 1026043.2029357553 6280054.571329089, 1026241.9837050136 6280072.669082083, 1026259.6313707425 6279872.899478447, 1026060.8505048433 6279854.801762894)));CRS3035RES200mN2275200E4080800;CRS3035RES1000mN2275000E4080000;0;CRS3035RES4000mN2272000E4080000;438519;06029;0;CRS3035RES200mN2275200E4080800;188.0;118.0;20.0;69.0;3.0;65.0;10.0;5289594.8;7620.0;114.0;4.0;1.0;44.0;29.0;44.0;0.0;0.0;4.5;0.0;2.5;9.0;2.0;14.0;31.0;28.0;45.0;48.0;4.0;0
carreau_pop_v2.36;MULTIPOLYGON (((1026259.6313707425 6279872.899478447, 1026241.9837050136 6280072.669082083, 1026440.7644348342 6280090.766476406, 1026458.4121971931 6279890.996835359, 1026259.6313707425 6279872.899478447)));CRS3035RES200mN2275200E4081000;CRS3035RES1000mN2275000E4081000;0;CRS3035RES4000mN2272000E4080000;438543;06029;0;CRS3035RES200mN2275200E4081000;340.5;198.0;31.0;94.0;2.0;114.0;16.0;8666489.5;12146.0;187.0;11.0;18.0;35.0;23.0;122.0;0.0;0.0;3.5;4.0;4.0;20.5;4.0;34.0;50.0;47.5;86.0;85.0;2.0;0
carreau_pop_v2.37;MULTIPOLYGON (((1024060.052719444 6282089.100244017, 1024042.4045978779 6282288.86281037, 1024241.1845745866 6282306.964246236, 1024258.832791249 6282107.201641874, 1024060.052719444 6282089.100244017)));CRS3035RES200mN2277600E4079000;CRS3035RES1000mN2277000E4079000;0;CRS3035RES200mN2277600E4079000;440098;06029;0;CRS3035RES200mN2277600E4079000;137.5;60.0;4.0;17.0;4.0;47.0;4.0;4036165.2;5491.0;27.0;33.0;38.0;6.0;2.0;13.0;1.0;0.0;3.0;1.0;6.0;12.5;5.0;9.0;30.0;29.0;27.0;10.0;5.0;0
carreau_pop_v2.38;MULTIPOLYGON (((1026392.4628263155 6282905.580719566, 1026374.8132129516 6283105.3420803575, 1026573.5924313646 6283123.439319624, 1026591.2421392847 6282923.677921212, 1026392.4628263155 6282905.580719566)));CRS3035RES200mN2278200E4081400;CRS3035RES1000mN2278000E4081000;0;CRS3035RES1000mN2278000E4081000;441490;06155;0;CRS3035RES200mN2278200E4081400;31.0;11.0;2.0;4.0;2.0;8.0;1.0;924929.6;867.0;6.0;5.0;2.0;0.0;1.0;8.0;0.0;0.0;1.0;0.0;0.0;4.0;1.0;6.0;7.0;9.0;2.0;0.0;1.0;0
carreau_pop_v2.39;MULTIPOLYGON (((1019885.6618983201 6281708.887945771, 1019868.0157762863 6281908.649705329, 1020066.7966036135 6281926.758682167, 1020084.4428209724 6281726.996883817, 1019885.6618983201 6281708.887945771)));CRS3035RES200mN2277600E4074800;CRS3035RES1000mN2277000E4074000;0;CRS3035RES1000mN2277000E4074000;439923;06029;0;CRS3035RES200mN2277600E4074800;271.5;139.0;13.0;59.0;2.0;79.0;5.0;7636532.5;9832.0;138.0;1.0;0.0;0.0;0.0;139.0;0.0;0.0;11.0;4.0;10.5;13.0;10.0;50.0;69.0;21.0;61.0;13.0;9.0;0
carreau_pop_v2.40;MULTIPOLYGON (((1020283.2237025092 6281745.105462824, 1020265.5773898365 6281944.8672999265, 1020464.3581350152 6281962.975558606, 1020482.004542991 6281763.213682787, 1020283.2237025092 6281745.105462824)));CRS3035RES200mN2277600E4075200;CRS3035RES1000mN2277000E4075000;0;CRS3035RES1000mN2277000E4075000;439930;06029;0;CRS3035RES200mN2277600E4075200;98.0;44.0;9.0;16.0;3.0;2.0;10.0;1704978.1;2808.0;42.0;2.0;12.0;0.0;2.0;30.0;0.0;41.0;2.0;4.0;4.0;8.0;7.0;18.0;19.0;17.0;16.0;3.0;0.0;0
carreau_pop_v2.41;MULTIPOLYGON (((1020265.5773898365 6281944.8672999265, 1020247.9309558306 6282144.628583117, 1020446.7116058428 6282162.7368805325, 1020464.3581350152 6281962.975558606, 1020265.5773898365 6281944.8672999265)));CRS3035RES200mN2277800E4075200;CRS3035RES1000mN2277000E4075000;0;CRS3035RES1000mN2277000E4075000;439936;06030;0;CRS3035RES200mN2277800E4075200;253.5;108.0;20.0;32.0;7.0;76.0;20.0;5026905.9;6887.0;104.0;4.0;3.0;0.0;53.0;52.0;0.0;0.0;18.0;6.0;16.0;24.0;18.5;44.0;39.0;23.0;36.0;28.0;1.0;0
carreau_pop_v2.42;MULTIPOLYGON (((1025323.3261429315 6281398.646530581, 1025305.6779223353 6281598.411540537, 1025504.4580418055 6281616.510670693, 1025522.1063579806 6281416.745623027, 1025323.3261429315 6281398.646530581)));CRS3035RES200mN2276800E4080200;CRS3035RES1000mN2276000E4080000;0;CRS3035RES1000mN2276000E4080000;440172;06029;0;CRS3035RES200mN2276800E4080200;232.5;115.0;16.0;47.0;1.0;61.0;9.0;6287702.8;8613.0;105.0;10.0;44.0;6.0;48.0;16.0;1.0;1.0;6.5;5.0;5.0;15.0;8.0;33.0;45.0;37.0;39.0;33.0;6.0;0
carreau_pop_v2.43;MULTIPOLYGON (((1021078.3468187021 6281817.536188399, 1021060.700124883 6282017.298180142, 1021259.4807064822 6282035.405002486, 1021277.1274955608 6281835.642972175, 1021078.3468187021 6281817.536188399)));CRS3035RES200mN2277600E4076000;CRS3035RES1000mN2277000E4076000;0;CRS3035RES1000mN2277000E4076000;439972;06030;0;CRS3035RES200mN2277600E4076000;373.0;175.0;19.0;66.0;6.0;130.0;22.0;8349111.7;11321.0;175.0;0.0;0.0;0.0;99.0;76.0;0.0;0.0;17.0;10.0;25.5;28.5;16.0;77.0;79.0;36.0;47.0;31.0;6.0;0
