id;the_geom;IdINSPIRE;Id_carr1km;I_est_cr;Id_carr_n;Groupe;Depcom;I_pauv;Id_car2010;Ind;Men;Men_pauv;Men_1ind;Men_5ind;Men_prop;Men_fmp;Ind_snv;Men_surf;Men_coll;Men_mais;Log_av45;Log_45_70;Log_70_90;Log_ap90;Log_inc;Log_soc;Ind_0_3;Ind_4_5;Ind_6_10;Ind_11_17;Ind_18_24;Ind_25_39;Ind_40_54;Ind_55_64;Ind_65_79;Ind_80p;Ind_inc;I_est_1km
carreau_pop_v2.442;MULTIPOLYGON (((1025177.4895559072 6280781.248833762, 1025159.8417845708 6280981.015470617, 1025358.622230811 6280999.114846561, 1025376.2700981472 6280799.348172018, 1025177.4895559072 6280781.248833762)));CRS3035RES200mN2276200E4080000;CRS3035RES1000mN2276000E4080000;0;CRS3035RES1000mN2276000E4080000;440181;06029;0;CRS3035RES200mN2276200E4080000;376.5;235.0;63.0;145.0;7.0;84.0;17.0;7979355.4;12674.0;235.0;0.0;115.0;37.0;5.0;77.0;1.0;8.0;12.0;3.5;7.5;18.5;19.0;63.0;75.0;49.0;81.0;46.0;2.0;0
carreau_pop_v2.443;MULTIPOLYGON (((1022288.6774149849 6281726.408728709, 1022271.0302697119 6281926.171505255, 1022469.8107029325 6281944.276134702, 1022487.4579435366 6281744.513319831, 1022288.6774149849 6281726.408728709)));CRS3035RES200mN2277400E4077200;CRS3035RES1000mN2277000E4077000;1;CRS3035RES1000mN2277000E4077000;439974;06029;0;CRS3035RES200mN2277400E4077200;11.0;4.3;0.4;0.6;0.0;3.7;0.6;367402.6;547.2;0.2;4.1;1.1;0.4;0.6;2.2;0.0;0.0;0.0;0.0;0.4;1.7;0.2;0.7;1.7;2.2;2.8;0.9;0.4;0
carreau_pop_v2.444;MULTIPOLYGON (((1025756.1830044813 6281035.312521876, 1025738.5348277241 6281235.078716623, 1025937.315059443 6281253.177053588, 1025954.9633320309 6281053.410821247, 1025756.1830044813 6281035.312521876)));CRS3035RES200mN2276400E4080600;CRS3035RES1000mN2276000E4080000;1;CRS3035RES1000mN2276000E4080000;440162;06029;0;CRS3035RES200mN2276400E4080600;9.0;5.5;0.8;2.8;0.2;4.3;0.2;278503.6;467.7;5.5;0.0;0.7;0.0;0.0;4.8;0.0;0.0;0.2;0.0;0.0;0.0;0.5;1.2;1.3;1.2;4.0;0.3;0.3;0
carreau_pop_v2.445;MULTIPOLYGON (((1025159.8417845708 6280981.015470617, 1025142.1938953709 6281180.78155235, 1025340.9742457482 6281198.880966001, 1025358.622230811 6280999.114846561, 1025159.8417845708 6280981.015470617)));CRS3035RES200mN2276400E4080000;CRS3035RES1000mN2276000E4080000;0;CRS3035RES1000mN2276000E4080000;440183;06029;0;CRS3035RES200mN2276400E4080000;396.0;246.0;58.0;151.0;4.0;95.0;24.0;8753220.9;14047.0;240.0;6.0;61.0;13.0;95.0;73.0;4.0;0.0;7.0;5.0;12.5;13.0;21.0;70.0;66.5;58.0;87.0;52.0;4.0;0
carreau_pop_v2.446;MULTIPOLYGON (((1025557.4026374279 6281017.2138636485, 1025539.7545565125 6281216.9800207615, 1025738.5348277241 6281235.078716623, 1025756.1830044813 6281035.312521876, 1025557.4026374279 6281017.2138636485)));CRS3035RES200mN2276400E4080400;CRS3035RES1000mN2276000E4080000;0;CRS3035RES1000mN2276000E4080000;440173;06029;0;CRS3035RES200mN2276400E4080400;193.0;119.0;13.0;63.0;2.0;65.0;14.0;4812377.8;7003.0;116.0;3.0;15.0;72.0;11.0;21.0;0.0;0.0;5.0;1.5;5.5;10.0;3.0;24.0;30.0;24.0;59.0;28.0;3.0;0
carreau_pop_v2.447;MULTIPOLYGON (((1022739.1797217287 6281163.325666556, 1022721.5327446398 6281363.090182903, 1022920.3133834645 6281381.193979534, 1022937.9604562724 6281181.429424998, 1022739.1797217287 6281163.325666556)));CRS3035RES200mN2276800E4077600;CRS3035RES1000mN2276000E4077000;1;CRS3035RES1000mN2276000E4077000;439986;06029;0;CRS3035RES200mN2276800E4077600;20.0;8.6;1.5;3.0;0.8;5.1;0.3;637064.4;1637.2;1.8;6.8;1.2;2.8;1.8;2.8;0.0;0.0;0.3;0.5;0.5;2.0;0.5;0.8;5.6;3.5;3.3;1.5;1.5;0
carreau_pop_v2.448;MULTIPOLYGON (((1024779.9283522842 6280745.049080803, 1024762.2807729801 6280944.815642169, 1024961.061298647 6280962.91573582, 1024978.7089739726 6280763.149136691, 1024779.9283522842 6280745.049080803)));CRS3035RES200mN2276200E4079600;CRS3035RES1000mN2276000E4079000;0;CRS3035RES1000mN2276000E4079000;440080;06029;0;CRS3035RES200mN2276200E4079600;180.5;121.0;30.0;72.0;0.0;41.0;18.0;3766342.7;7211.0;120.0;1.0;68.0;10.0;1.0;42.0;0.0;0.0;0.0;0.0;3.0;11.5;5.0;26.0;32.0;23.0;42.0;37.0;1.0;0
carreau_pop_v2.449;MULTIPOLYGON (((1025358.622230811 6280999.114846561, 1025340.9742457482 6281198.880966001, 1025539.7545565125 6281216.9800207615, 1025557.4026374279 6281017.2138636485, 1025358.622230811 6280999.114846561)));CRS3035RES200mN2276400E4080200;CRS3035RES1000mN2276000E4080000;0;CRS3035RES1000mN2276000E4080000;440179;06029;0;CRS3035RES200mN2276400E4080200;321.5;185.0;47.0;99.0;4.0;76.0;23.0;6785166.7;10415.0;174.0;11.0;70.0;26.0;5.0;84.0;0.0;0.0;8.0;4.0;7.0;24.5;16.0;49.0;69.0;41.0;68.0;32.0;3.0;0
carreau_pop_v2.450;MULTIPOLYGON (((1024762.2807729801 6280944.815642169, 1024744.633075539 6281144.581648372, 1024943.4135053211 6281162.681779807, 1024961.061298647 6280962.91573582, 1024762.2807729801 6280944.815642169)));CRS3035RES200mN2276400E4079600;CRS3035RES1000mN2276000E4079000;0;CRS3035RES1000mN2276000E4079000;440081;06029;0;CRS3035RES200mN2276400E4079600;221.5;129.0;30.0;69.0;0.0;38.0;20.0;4114852.2;6685.0;128.0;1.0;63.0;13.0;19.0;32.0;2.0;6.0;8.0;7.0;6.0;7.5;15.0;44.0;43.0;27.0;33.0;27.0;4.0;0
carreau_pop_v2.451;MULTIPOLYGON (((1024563.5002075102 6280926.715189664, 1024545.8526059648 6281126.481158046, 1024744.633075539 6281144.581648372, 1024762.2807729801 6280944.815642169, 1024563.5002075102 6280926.715189664)));CRS3035RES200mN2276400E4079400;CRS3035RES1000mN2276000E4079000;0;CRS3035RES1000mN2276000E4079000;440076;06029;0;CRS3035RES200mN2276400E4079400;160.5;85.0;20.0;43.0;4.0;39.0;13.0;3309025.5;5560.0;83.0;2.0;50.0;1.0;8.0;25.0;1.0;0.0;6.0;3.0;3.0;12.5;14.0;27.0;30.0;25.0;23.0;16.0;1.0;0
carreau_pop_v2.452;MULTIPOLYGON (((1024130.644018903 6281290.04443839, 1024112.9963720057 6281489.809221307, 1024311.7767299208 6281507.910505252, 1024329.4244724615 6281308.145684402, 1024130.644018903 6281290.04443839)));CRS3035RES200mN2276800E4079000;CRS3035RES1000mN2276000E4079000;0;CRS3035RES1000mN2276000E4079000;440087;06029;0;CRS3035RES200mN2276800E4079000;413.0;210.0;39.0;100.0;9.0;105.0;21.0;8673307.3;12164.0;192.0;18.0;82.0;13.0;10.0;104.0;1.0;0.0;16.0;13.0;20.0;33.0;16.0;71.0;75.0;58.0;62.0;43.0;6.0;0
carreau_pop_v2.453;MULTIPOLYGON (((1023534.3024182213 6281235.738546827, 1023516.6550583199 6281435.503215721, 1023715.4355362654 6281453.60557654, 1023733.0829918426 6281253.840869601, 1023534.3024182213 6281235.738546827)));CRS3035RES200mN2276800E4078400;CRS3035RES1000mN2276000E4078000;0;CRS3035RES1000mN2276000E4078000;440064;06029;0;CRS3035RES200mN2276800E4078400;331.5;163.0;21.0;67.0;7.0;105.0;16.0;7185531.5;10996.0;157.0;6.0;11.0;24.0;35.0;93.0;0.0;0.0;17.0;4.0;19.0;17.0;16.5;53.0;61.0;31.0;52.0;54.0;7.0;0
carreau_pop_v2.454;MULTIPOLYGON (((1023335.5218044589 6281217.635865131, 1023317.8745402445 6281417.400495948, 1023516.6550583199 6281435.503215721, 1023534.3024182213 6281235.738546827, 1023335.5218044589 6281217.635865131)));CRS3035RES200mN2276800E4078200;CRS3035RES1000mN2276000E4078000;0;CRS3035RES1000mN2276000E4078000;440054;06029;0;CRS3035RES200mN2276800E4078200;54.0;34.0;4.0;20.0;0.0;25.0;4.0;1473760.7;2531.0;31.0;3.0;3.0;12.0;2.0;17.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;7.0;14.0;14.0;8.0;3.0;3.0;0
carreau_pop_v2.455;MULTIPOLYGON (((1023931.8635253834 6281271.942833456, 1023914.2159741407 6281471.707578405, 1024112.9963720057 6281489.809221307, 1024130.644018903 6281290.04443839, 1023931.8635253834 6281271.942833456)));CRS3035RES200mN2276800E4078800;CRS3035RES1000mN2276000E4078000;0;CRS3035RES1000mN2276000E4078000;440063;06029;0;CRS3035RES200mN2276800E4078800;343.5;156.0;21.0;60.0;9.0;82.0;26.0;7780156.7;9636.0;127.0;29.0;81.0;24.0;3.0;46.0;2.0;0.0;16.5;11.0;19.0;31.0;21.0;55.0;87.0;33.0;49.0;17.0;4.0;0
carreau_pop_v2.456;MULTIPOLYGON (((1022774.4733172574 6280763.794969006, 1022756.8265792587 6280963.560595338, 1022955.6074096591 6280981.664315604, 1022973.2542436505 6280781.89865112, 1022774.4733172574 6280763.794969006)));CRS3035RES200mN2276400E4077600;CRS3035RES1000mN2276000E4077000;0;CRS3035RES1000mN2276000E4077000;439994;06029;0;CRS3035RES200mN2276400E4077600;68.5;38.0;6.0;18.0;0.0;13.0;3.0;1671140.0;2234.0;38.0;0.0;0.0;1.0;0.0;37.0;0.0;0.0;6.5;0.0;0.0;5.0;1.0;8.0;19.0;13.0;11.0;5.0;0.0;0
carreau_pop_v2.457;MULTIPOLYGON (((1022575.6923504616 6280745.690928061, 1022558.0457084671 6280945.456516201, 1022756.8265792587 6280963.560595338, 1022774.4733172574 6280763.794969006, 1022575.6923504616 6280745.690928061)));CRS3035RES200mN2276400E4077400;CRS3035RES1000mN2276000E4077000;0;CRS3035RES1000mN2276000E4077000;439987;06029;0;CRS3035RES200mN2276400E4077400;46.0;22.0;1.0;7.0;2.0;16.0;1.0;1835458.7;2411.0;16.0;6.0;2.0;3.0;13.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0;5.0;8.0;21.0;3.0;4.0;0
carreau_pop_v2.458;MULTIPOLYGON (((1023733.0829918426 6281253.840869601, 1023715.4355362654 6281453.60557654, 1023914.2159741407 6281471.707578405, 1023931.8635253834 6281271.942833456, 1023733.0829918426 6281253.840869601)));CRS3035RES200mN2276800E4078600;CRS3035RES1000mN2276000E4078000;0;CRS3035RES1000mN2276000E4078000;440069;06029;0;CRS3035RES200mN2276800E4078600;386.5;197.0;40.0;93.0;9.0;81.0;27.0;8050962.4;11809.0;171.0;26.0;65.0;6.0;15.0;111.0;0.0;48.0;29.0;10.0;23.0;14.5;19.0;77.0;74.0;40.0;54.0;35.0;11.0;0
carreau_pop_v2.459;MULTIPOLYGON (((1022540.3989468039 6281145.221549209, 1022522.7520654455 6281344.986027323, 1022721.5327446398 6281363.090182903, 1022739.1797217287 6281163.325666556, 1022540.3989468039 6281145.221549209)));CRS3035RES200mN2276800E4077400;CRS3035RES1000mN2276000E4077000;1;CRS3035RES1000mN2276000E4077000;439986;06029;0;CRS3035RES200mN2276800E4077400;14.0;6.0;1.1;2.1;0.5;3.5;0.2;445945.1;1146.1;1.2;4.8;0.9;1.9;1.2;2.0;0.0;0.0;0.2;0.3;0.3;1.4;0.4;0.5;3.9;2.5;2.3;1.1;1.1;0
carreau_pop_v2.460;MULTIPOLYGON (((1021745.2754421048 6281072.801490706, 1021727.6289437762 6281272.565815529, 1021926.4097850472 6281290.671406893, 1021944.0563791497 6281090.90704369, 1021745.2754421048 6281072.801490706)));CRS3035RES200mN2276800E4076600;CRS3035RES1000mN2276000E4076000;1;CRS3035RES1000mN2276000E4076000;440006;06029;0;CRS3035RES200mN2276800E4076600;18.5;8.8;1.2;2.8;0.4;7.2;0.8;593188.0;1382.9;2.8;6.0;1.6;1.6;3.6;2.0;0.0;0.0;0.0;0.0;0.8;1.0;0.0;1.2;2.8;3.2;5.5;3.2;0.8;0
carreau_pop_v2.461;MULTIPOLYGON (((1022376.9113432043 6280727.586528274, 1022359.2647972245 6280927.352078183, 1022558.0457084671 6280945.456516201, 1022575.6923504616 6280745.690928061, 1022376.9113432043 6280727.586528274)));CRS3035RES200mN2276400E4077200;CRS3035RES1000mN2276000E4077000;0;CRS3035RES1000mN2276000E4077000;440001;06029;0;CRS3035RES200mN2276400E4077200;141.5;88.0;8.0;48.0;2.0;61.0;7.0;4265994.1;6210.0;82.0;6.0;2.0;26.0;16.0;44.0;0.0;0.0;3.0;0.0;1.5;8.0;3.0;12.0;24.0;10.0;48.0;31.0;1.0;0
carreau_pop_v2.462;MULTIPOLYGON (((1022937.9604562724 6281181.429424998, 1022920.3133834645 6281381.193979534, 1023119.0939819792 6281399.297417217, 1023136.741150496 6281199.532824526, 1022937.9604562724 6281181.429424998)));CRS3035RES200mN2276800E4077800;CRS3035RES1000mN2276000E4077000;1;CRS3035RES1000mN2276000E4077000;439986;06029;0;CRS3035RES200mN2276800E4077800;15.0;6.5;1.1;2.3;0.6;3.8;0.2;477798.3;1227.9;1.4;5.1;1.0;2.1;1.3;2.1;0.0;0.0;0.2;0.4;0.4;1.5;0.4;0.6;4.2;2.6;2.5;1.1;1.1;0
carreau_pop_v2.463;MULTIPOLYGON (((1021383.0056978902 6280637.0591468485, 1021365.3596321475 6280836.824505056, 1021564.1407465445 6280854.930737417, 1021581.7869083562 6280655.165340793, 1021383.0056978902 6280637.0591468485)));CRS3035RES200mN2276400E4076200;CRS3035RES1000mN2276000E4076000;0;CRS3035RES1000mN2276000E4076000;440021;06029;0;CRS3035RES200mN2276400E4076200;305.0;138.0;23.0;53.0;9.0;50.0;22.0;5924723.5;8317.0;103.0;35.0;41.0;6.0;3.0;87.0;1.0;37.0;25.0;7.0;19.0;25.0;13.0;60.0;71.0;32.0;41.0;8.0;4.0;0
carreau_pop_v2.464;MULTIPOLYGON (((1021546.49446438 6281054.6955788145, 1021528.8480618363 6281254.45986522, 1021727.6289437762 6281272.565815529, 1021745.2754421048 6281072.801490706, 1021546.49446438 6281054.6955788145)));CRS3035RES200mN2276800E4076400;CRS3035RES1000mN2276000E4076000;0;CRS3035RES1000mN2276000E4076000;440010;06029;0;CRS3035RES200mN2276800E4076400;102.5;60.0;7.0;27.0;1.0;46.0;5.0;2871024.9;5136.0;51.0;9.0;3.0;46.0;2.0;9.0;0.0;0.0;3.0;2.0;1.5;2.0;3.0;12.0;19.0;12.0;37.0;8.0;3.0;0
carreau_pop_v2.465;MULTIPOLYGON (((1021347.7134459154 6281036.58930802, 1021330.0671391676 6281236.353555972, 1021528.8480618363 6281254.45986522, 1021546.49446438 6281054.6955788145, 1021347.7134459154 6281036.58930802)));CRS3035RES200mN2276800E4076200;CRS3035RES1000mN2276000E4076000;0;CRS3035RES1000mN2276000E4076000;440011;06029;0;CRS3035RES200mN2276800E4076200;134.5;61.0;1.0;23.0;4.0;52.0;5.0;3572824.8;4386.0;51.0;10.0;4.0;2.0;9.0;46.0;0.0;0.0;13.5;3.0;8.0;6.0;2.0;36.0;22.0;18.0;19.0;7.0;0.0;0
carreau_pop_v2.466;MULTIPOLYGON (((1022341.6181314397 6281127.117072944, 1022323.9713458221 6281326.881512789, 1022522.7520654455 6281344.986027323, 1022540.3989468039 6281145.221549209, 1022341.6181314397 6281127.117072944)));CRS3035RES200mN2276800E4077200;CRS3035RES1000mN2276000E4077000;1;CRS3035RES1000mN2276000E4077000;439986;06029;0;CRS3035RES200mN2276800E4077200;3.0;1.3;0.2;0.5;0.1;0.8;0.0;95559.7;245.6;0.3;1.0;0.2;0.4;0.3;0.4;0.0;0.0;0.1;0.1;0.1;0.3;0.1;0.1;0.8;0.5;0.5;0.2;0.2;0
carreau_pop_v2.467;MULTIPOLYGON (((1021944.0563791497 6281090.90704369, 1021926.4097850472 6281290.671406893, 1022125.1905857092 6281308.776639317, 1022142.8372755744 6281109.0122377705, 1021944.0563791497 6281090.90704369)));CRS3035RES200mN2276800E4076800;CRS3035RES1000mN2276000E4076000;1;CRS3035RES1000mN2276000E4076000;440006;06029;0;CRS3035RES200mN2276800E4076800;20.0;9.5;1.3;3.0;0.4;7.7;0.9;641284.3;1495.1;3.0;6.5;1.7;1.7;3.9;2.2;0.0;0.0;0.0;0.0;0.9;1.1;0.0;1.3;3.0;3.4;6.0;3.4;0.9;0
carreau_pop_v2.468;MULTIPOLYGON (((1021184.2244466026 6280618.952594071, 1021166.57847694 6280818.7179138325, 1021365.3596321475 6280836.824505056, 1021383.0056978902 6280637.0591468485, 1021184.2244466026 6280618.952594071)));CRS3035RES200mN2276400E4076000;CRS3035RES1000mN2276000E4076000;0;CRS3035RES1000mN2276000E4076000;440022;06029;0;CRS3035RES200mN2276400E4076000;377.0;198.0;33.0;88.0;6.0;76.0;24.0;7566474.3;11480.0;181.0;17.0;21.0;11.0;9.0;157.0;0.0;48.0;18.5;4.5;10.0;23.0;22.0;69.0;63.0;56.0;70.0;37.0;4.0;0
carreau_pop_v2.469;MULTIPOLYGON (((1020985.4431544337 6280600.845682471, 1020967.7972808623 6280800.610963739, 1021166.57847694 6280818.7179138325, 1021184.2244466026 6280618.952594071, 1020985.4431544337 6280600.845682471)));CRS3035RES200mN2276400E4075800;CRS3035RES1000mN2276000E4075000;0;CRS3035RES1000mN2276000E4075000;439958;06029;0;CRS3035RES200mN2276400E4075800;493.5;236.0;37.0;95.0;10.0;104.0;34.0;9709663.3;13867.0;227.0;9.0;9.0;4.0;48.0;175.0;0.0;57.0;21.0;13.0;26.0;40.5;28.0;89.0;106.0;48.0;75.0;39.0;8.0;0
